Process,Rev_num,Sw_rev,Sw,Pc,krw,kro,1-Sw
0,2,0.750881254,0.730910615,2393.482141,0.258914307,0,0.269089385
0,2,0.750881254,0.721005166,2522.644195,0.24589346,0,0.278994834
0,2,0.750881254,0.710663461,1718.914302,0.242433501,0,0.289336539
0,2,0.750881254,0.700812908,2087.033893,0.235928063,0,0.299187092
0,2,0.750881254,0.690961595,2489.251629,0.228602138,0,0.309038405
0,2,0.750881254,0.68104841,2687.202332,0.222325676,0,0.31895159
0,2,0.750881254,0.671098784,2776.419905,0.202697577,0,0.328901216
0,2,0.750881254,0.661265453,3182.400118,0.191346121,0,0.338734547
0,2,0.750881254,0.651240595,3105.616382,0.189614782,0,0.348759405
0,2,0.750881254,0.641336709,3373.5705,0.184966042,0.097860184,0.358663291
0,2,0.750881254,0.631063609,2632.974214,0.181394136,0.133106417,0.368936391
0,2,0.750881254,0.621053823,2540.98343,0.151487963,0.128990891,0.378946177
0,2,0.750881254,0.611213571,2993.820134,0.146030551,0.133400877,0.388786429
0,2,0.750881254,0.601206069,2914.591248,0.133369645,0.13354394,0.398793931
0,2,0.750881254,0.591354429,3346.481459,0.130000072,0.14601962,0.408645571
0,2,0.750881254,0.581308523,3196.627243,0.105544893,0.146423928,0.418691477
0,2,0.750881254,0.571468172,3573.764448,0.100349161,0.148312067,0.428531828
0,2,0.750881254,0.561516013,3750.421216,0.099014375,0.162451307,0.438483987
0,2,0.750881254,0.551338108,3114.167796,0.053858533,0.163475118,0.448661892
0,2,0.750881254,0.541361191,3055.668177,0.047426989,0.168649659,0.458638809
0,2,0.750881254,0.531360255,2933.886804,0.046766079,0.172263169,0.468639745
0,2,0.750881254,0.52150581,3450.446282,0.045925137,0.174442536,0.47849419
0,2,0.750881254,0.511342606,2994.226479,0.0458881,0.28590585,0.488657394
0,2,0.750881254,0.50139134,3188.431039,0.041690661,0.317870877,0.49860866
0,2,0.750881254,0.491272887,2633.770827,0.046851426,0.317592851,0.508727113
0,2,0.750881254,0.481315278,2837.830511,0.044109744,0.321492154,0.518684722
0,2,0.750881254,0.471391875,3083.445439,0.04204427,0.324108019,0.528608125
0,2,0.750881254,0.461469161,3387.314657,0.04061983,0.326334602,0.538530839
0,2,0.750881254,0.451524017,3552.020411,0.038560244,0.328862755,0.548475983
0,2,0.750881254,0.44152442,3527.89253,0.03751911,0.333804187,0.55847558
0,2,0.750881254,0.431527561,3720.471482,0.024916795,0.372619626,0.568472439
0,2,0.750881254,0.42161826,3833.055032,0.020093988,0.380671347,0.57838174
0,2,0.750881254,0.411609812,3850.921564,0.019975785,0.407499787,0.588390188
0,2,0.750881254,0.401720856,4161.232425,0.018225813,0.412614149,0.598279144
0,2,0.750881254,0.391626698,3900.307704,0.017581439,0.421784276,0.608373302
0,2,0.750881254,0.381559481,3424.031952,0.017799963,0.436216011,0.618440519
0,2,0.750881254,0.371693254,3956.038859,0.017697302,0.43800108,0.628306746
0,2,0.750881254,0.361728683,4262.447823,0.016316768,0.454750342,0.638271317
0,2,0.750881254,0.351686779,3860.160595,0.016409924,0.482262331,0.648313221
0,2,0.750881254,0.341783587,4287.158277,0.016215948,0.487748781,0.658216413
0,2,0.750881254,0.331669111,3810.104346,0.016403307,0.536237939,0.668330889
0,2,0.750881254,0.321670065,3634.147275,0.016510139,0.578386033,0.678329935
0,2,0.750881254,0.3117641,4115.168534,0.01635842,0.57981979,0.6882359
0,2,0.750881254,0.301754617,4022.383077,0.016326411,0.592467743,0.698245383
0,2,0.750881254,0.291764131,4025.164495,0.016237622,0.595021354,0.708235869
0,2,0.750881254,0.281901785,4586.958086,0.015008766,0.596894986,0.718098215
0,2,0.750881254,0.27184722,4352.026564,0.013373987,0.610198441,0.72815278
0,2,0.750881254,0.261979287,4919.766139,0.012706332,0.612550706,0.738020713
0,2,0.750881254,0.251877952,3977.2818,0.008015213,0.633830296,0.748122048
0,2,0.750881254,0.241855919,4209.478543,0.007591058,0.642556271,0.758144081
