Sw, kro, krw, Pc
0.252201862764671, 0.0100832652998209, 0.595113359122946, 0.00419031874285714
0.262082706347833, 0.010368704836248, 0.587993862791529, 0.00365538721071429
0.272248493828179, 0.0119161187600176, 0.509033743469607, 0.00404788609285714
0.28213222770467, 0.0121763711684361, 0.483967519851004, 0.003548306175
0.292241849036055, 0.0124634322517687, 0.380217964015425, 0.0038598022714285696
0.302150092755189, 0.0136311462445381, 0.373145539664496, 0.00351952473214286
0.312169966986409, 0.0160847047986161, 0.322866038723981, 0.0035933497928571398
0.322039601952173, 0.0171891627017194, 0.299443201351402, 0.00334958491607143
0.332108325134052, 0.0226515693246683, 0.2884251254375, 0.00356847479464286
0.341974443964299, 0.0232852189719541, 0.284311658324001, 0.0032692234125
0.351941091675542, 0.0260403032323269, 0.277503621864847, 0.0031263103178571397
0.361810167873436, 0.029929363885788, 0.266146328566444, 0.00279707665178571
0.372054415675567, 0.0519523831617399, 0.22316782528013, 0.00337097398928571
